mbr_id,sid,bgn_dt,stg_cd,thma_nm,step_nm,stg_nm,dtl_cn,try_no,lrn_prgs_sts_cd
MPID0225100025733,mathpd29617674374427801,2021-08-22,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0420140036805,mathpd31700971195379325,2021-09-15,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0129050016615,mathpd28488741750880018,2021-08-09,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0204130019760,mathpd28470027567329160,2021-08-09,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0729130048717,mathpd31615604139158913,2021-09-14,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0203100018443,mathpd30020372363679454,2021-08-27,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0120060009320,mathpd28306138243701551,2021-08-07,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0330100032185,mathpd27363819538306060,2021-07-27,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC04
MPID0120060009320,mathpd28564272725429013,2021-08-10,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0319100030328,mathpd27558589458185140,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0319100030328,mathpd27558697847043670,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC03
MPID0319100030328,mathpd27558780785273101,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,3,LPSC03
MPID0330100033689,mathpd29256477125158669,2021-08-18,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0727100048264,mathpd27530782850090511,2021-07-29,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0129050016615,mathpd27886252400554358,2021-08-02,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0129050016615,mathpd27886354653800961,2021-08-02,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC04
MPID0729130050003,mathpd29369843667168625,2021-08-19,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0713100047089,mathpd34217384562522716,2021-10-14,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0420140036805,mathpd32009591496098421,2021-09-19,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,4,LPSC03
MPID0629110045635,mathpd28677607664649677,2021-08-11,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0120060011395,mathpd26779761145565745,2021-07-20,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC04
MPID0126030014090,mathpd29266031857093696,2021-08-18,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0120060011959,mathpd26776218148362639,2021-07-20,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0406110033988,mathpd26776498872358484,2021-07-20,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC04
MPID0420140036945,mathpd29186115577453776,2021-08-17,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,3,LPSC03
MPID0330100033152,mathpd27641412811287004,2021-07-30,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0629110045551,mathpd29208301036179059,2021-08-17,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0129050016470,mathpd31947207710044956,2021-09-18,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,4,LPSC03
MPID0129050016470,mathpd31947416362365182,2021-09-18,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,5,LPSC04
MPID0222100025417,mathpd28751395632642697,2021-08-12,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0902170062271,mathpd32928403937118106,2021-09-30,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,7,LPSC03
MPID0406110034324,mathpd30580089547799080,2021-09-02,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0126020013529,mathpd29080292001237327,2021-08-16,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0629110045635,mathpd28209315086169184,2021-08-06,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC04
MPID0120050010343,mathpd27300675725052443,2021-07-26,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0120050010343,mathpd27300776485470838,2021-07-26,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,2,LPSC04
MPID0729130050003,mathpd31000568851855533,2021-09-07,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC03
MPID0119040005879,mathpd31181991580090299,2021-09-09,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0319100032029,mathpd29685376710416258,2021-08-23,E17_0_1,곱셈,곱셈구구,2의 단 곱셈구구,곱하기 2,1,LPSC02
MPID0120060009320,mathpd28306269920398604,2021-08-07,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0406110034324,mathpd30917154807944689,2021-09-06,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC03
MPID0420140036945,mathpd29252654549863823,2021-08-18,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC03
MPID0319100032029,mathpd29709139726218589,2021-08-23,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0203100018443,mathpd30020567171458558,2021-08-27,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0119040005879,mathpd31262412366327598,2021-09-10,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0420140036945,mathpd29252580208775895,2021-08-18,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0120060009320,mathpd28564326232330568,2021-08-10,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0330100032185,mathpd27371797864067089,2021-07-27,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0120050010343,mathpd27391152305575685,2021-07-27,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0629110045635,mathpd27948260172798033,2021-08-03,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0629110045635,mathpd27948404121530473,2021-08-03,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC04
MPID0204130019760,mathpd28578116052258370,2021-08-10,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0126030014090,mathpd29266122327642086,2021-08-18,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0204130020792,mathpd29262125766700234,2021-08-18,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0319100030328,mathpd27559095917519730,2021-07-29,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0330100033689,mathpd29363794082581121,2021-08-19,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0729130050003,mathpd29369926240913378,2021-08-19,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0129050016615,mathpd28569123240880149,2021-08-10,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0406110033988,mathpd26776644911085707,2021-07-20,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,3,LPSC03
MPID0406110033988,mathpd26776761105186909,2021-07-20,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,5,LPSC03
MPID0120060011395,mathpd26779884994218467,2021-07-20,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC04
MPID0120060011959,mathpd26776539861231654,2021-07-20,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0629110045635,mathpd28847793928241527,2021-08-13,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC04
MPID0727100048264,mathpd27627469551236860,2021-07-30,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0126020013529,mathpd29080555538837345,2021-08-16,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0330100033689,mathpd29363851275255772,2021-08-19,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC04
MPID0330100033152,mathpd27641523111753492,2021-07-30,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC02
MPID0629110045551,mathpd29208391503856529,2021-08-17,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0129050016470,mathpd31947504790450378,2021-09-18,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0222100025417,mathpd28751472156808379,2021-08-12,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0225100025733,mathpd29617763998813116,2021-08-22,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0713100047089,mathpd33834699172941426,2021-10-10,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC03
MPID0902170062271,mathpd32951123056691537,2021-09-30,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,2,LPSC03
MPID0713100047089,mathpd33834893029940763,2021-10-10,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,3,LPSC03
MPID0729130050003,mathpd31000421096527026,2021-09-07,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC04
MPID0420140036805,mathpd31701133721278269,2021-09-15,E17_0_2,곱셈,곱셈구구,5의 단 곱셈구구,곱하기 5,1,LPSC03
MPID0406110033988,mathpd27043186496654262,2021-07-23,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC02
MPID0629110045635,mathpd28509091696116215,2021-08-09,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0120060009320,mathpd28306377843670769,2021-08-07,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0204130020792,mathpd29263123067791028,2021-08-18,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,2,LPSC04
MPID0330100032185,mathpd27371505531641464,2021-07-27,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0120050010343,mathpd27391223770556017,2021-07-27,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0120060009320,mathpd28564373984076865,2021-08-10,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0406110034324,mathpd30925101112440759,2021-09-06,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0319100030328,mathpd27559627397945945,2021-07-29,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,4,LPSC03
MPID0204130020792,mathpd29262210977187921,2021-08-18,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0126030014090,mathpd29266200199702256,2021-08-18,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0319100030328,mathpd27559228519166184,2021-07-29,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC02
MPID0319100030328,mathpd27559291293731091,2021-07-29,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,2,LPSC03
MPID0319100030328,mathpd27559367939208339,2021-07-29,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,3,LPSC03
MPID0729130050003,mathpd29370012580362442,2021-08-19,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0727100048264,mathpd27530932449443311,2021-07-29,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0727100048264,mathpd27531077062572894,2021-07-29,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,2,LPSC03
MPID0129050016470,mathpd31953413935820770,2021-09-18,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0319100030328,mathpd31931537749747078,2021-09-18,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,5,LPSC03
MPID0119040005879,mathpd31519816824610164,2021-09-13,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0420140036945,mathpd29440969797545312,2021-08-20,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0120050010343,mathpd27621550965446183,2021-07-30,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,2,LPSC03
MPID0330100033689,mathpd29436863853882930,2021-08-20,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0727100048264,mathpd27627010257443943,2021-07-30,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,3,LPSC03
MPID0629110045635,mathpd28903541452295478,2021-08-14,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0330100033152,mathpd27641623469322414,2021-07-30,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0629110045551,mathpd29208449667127528,2021-08-17,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0222100025417,mathpd28751536030009336,2021-08-12,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0120060011395,mathpd26780075360082651,2021-07-20,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,2,LPSC03
MPID0203100018443,mathpd30293380676439494,2021-08-30,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0126020013529,mathpd29081349733872458,2021-08-16,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0225100025733,mathpd29617848009696878,2021-08-22,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0902170062271,mathpd32951316421690104,2021-09-30,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0420140036805,mathpd31701323023978527,2021-09-15,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC02
MPID0319100032029,mathpd29710513707521629,2021-08-23,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0129050016615,mathpd28569199034292308,2021-08-10,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0120060011959,mathpd26776625052187422,2021-07-20,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC04
MPID0204130019760,mathpd28768294973664549,2021-08-12,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,1,LPSC03
MPID0204130020792,mathpd29264429993337880,2021-08-18,E18_0_1,곱셈,곱셈구구,3의 단 곱셈구구,곱하기 3,3,LPSC04
MPID0330100033689,mathpd29708845352301173,2021-08-23,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC03
MPID0406110034324,mathpd31089478188151388,2021-09-08,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC03
MPID0406110033988,mathpd27043449540563737,2021-07-23,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,2,LPSC02
MPID0120060009320,mathpd28306458390578827,2021-08-07,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC04
MPID0119040005879,mathpd31601082167623372,2021-09-14,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC04
MPID0120060011959,mathpd26863821527150938,2021-07-21,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC03
MPID0420140036945,mathpd30914337581526444,2021-09-06,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,2,LPSC02
MPID0629110045635,mathpd28585977117345530,2021-08-10,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,2,LPSC03
MPID0204130020792,mathpd29264328913446906,2021-08-18,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,3,LPSC04
MPID0120060009320,mathpd28564447952732228,2021-08-10,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC04
MPID0319100030328,mathpd27559871344416975,2021-07-29,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC04
MPID0204130020792,mathpd29262271352500339,2021-08-18,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC03
MPID0729130050003,mathpd29370063316316365,2021-08-19,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC04
MPID0629110045635,mathpd27892537977041035,2021-08-02,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC03
MPID0129050016615,mathpd28569260647191775,2021-08-10,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC04
MPID0129050016470,mathpd31966947349007458,2021-09-18,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC03
MPID0629110045551,mathpd29208507672964906,2021-08-17,E18_0_2,곱셈,곱셈구구,4의 단 곱셈구구,곱하기 4,1,LPSC04
