stg_cd,qst_cd,text_cn,qst_cn,qst_cn1_1,math_smb1_1,qst_cn1_2,math_smb1_2,qst_cn1_3,qst_cn2_1,math_smb2_1,qst_cn2_2,math_smb2_2,qst_cn2_3,boxed_cransr
F02_0_1,F02010901,다음을 계산하세요.,\img{https://s3.ap-northeast-2.amazonaws.com/wjtb-prd-pub/brs/img/common/image/1607648062427883595.svg}{}{200px}{}\\~~~~~~~~~~~~~~9\div3=\boxed{\phantom{3}},3,X,3,=,9,9,÷,3,=,ㅁ,3
F02_0_1,F02011002,다음을 계산하세요., 2 \times 8 = 16\leftrightarrow16\div2=\boxed{\phantom{8}} ,2,X,8,=,16,16,÷,2,=,ㅁ,8
F02_0_1,F02011003,다음을 계산하세요., 3 \times 5 = 15\leftrightarrow15\div3=\boxed{\phantom{5}},3,X,5,=,15,15,÷,3,=,ㅁ,5
F02_0_1,F02011004,다음을 계산하세요.,4 \times 2 = 8\leftrightarrow8\div4=\boxed{\phantom{2}} ,4,X,2,=,8,8,÷,4,=,ㅁ,2
F02_0_1,F02011005,다음을 계산하세요.,\begin{multiplication-and-division} 3\times2=6 & 6\div3=\boxed{\phantom{2}} & 6\div2=\boxed{\phantom{3}} \end{multiplication-and-division},3,X,2,=,6,6,÷,3,=,ㅁ,2
F02_0_1,F02011006,다음을 계산하세요.,\begin{multiplication-and-division} 4\times5=20 & 20\div4=\boxed{\phantom{5}} & 20\div5=\boxed{\phantom{4}} \end{multiplication-and-division},4,X,5,=,20,20,÷,4,=,ㅁ,5
F02_0_1,F02011007,다음을 계산하세요.,\begin{multiplication-and-division} 2\times6=12 & 12\div2=\boxed{\phantom{6}} & 12\div6=\boxed{\phantom{2}} \end{multiplication-and-division},2,X,6,=,12,12,÷,2,=,ㅁ,6
F02_0_1,F02011101,다음을 계산하세요., 7 \times 3 = 21\leftrightarrow21\div3=\boxed{\phantom{7}} ,7,X,3,=,21,21,÷,3,=,ㅁ,7
F02_0_1,F02011102,다음을 계산하세요., 8 \times 9 = 72\leftrightarrow72\div9=\boxed{\phantom{8}} ,8,X,9,=,72,72,÷,9,=,ㅁ,8
F02_0_1,F02011103,다음을 계산하세요.,\begin{multiplication-and-division} 7\times5=35 & 35\div7=\boxed{\phantom{5}} & 35\div5=\boxed{\phantom{7}} \end{multiplication-and-division},7,X,5,=,35,35,÷,7,=,ㅁ,5
F02_0_1,F02011104,다음을 계산하세요.,\begin{multiplication-and-division} 8\times4=32 & 32\div8=\boxed{\phantom{4}} & 32\div4=\boxed{\phantom{8}} \end{multiplication-and-division},8,X,4,=,32,32,÷,8,=,ㅁ,4
F02_0_1,F02011205,다음을 계산하세요., 7 \times 2 = 14\leftrightarrow14\div2=\boxed{\phantom{7}} ,7,X,2,=,12,14,÷,2,=,ㅁ,7
F02_0_1,F02011207,다음을 계산하세요., 7 \times 9 = 63\leftrightarrow63\div9=\boxed{\phantom{7}} ,7,X,9,=,63,63,÷,9,=,ㅁ,7
F02_0_1,F02011208,다음을 계산하세요.,\begin{multiplication-and-division} 7\times4=28 & 28\div7=\boxed{\phantom{4}} & 28\div4=\boxed{\phantom{7}} \end{multiplication-and-division},7,X,4,=,28,28,÷,7,=,ㅁ,4
F02_0_1,F02011209,다음을 계산하세요.,\begin{multiplication-and-division} 8\times5=40 & 40\div8=\boxed{\phantom{5}} & 40\div5=\boxed{\phantom{8}} \end{multiplication-and-division},8,X,5,=,40,40,÷,8,=,ㅁ,5
F02_0_1,F02011210,다음을 계산하세요.,\begin{multiplication-and-division} 9\times3=27 & 27\div9=\boxed{\phantom{3}} & 27\div3=\boxed{\phantom{9}} \end{multiplication-and-division},9,X,3,=,27,27,÷,9,=,ㅁ,3
F02_0_1,F02011301,다음을 계산하세요., 2 \times 2 = 4\leftrightarrow4\div2=\boxed{\phantom{2}} ,2,X,2,=,4,4,÷,2,=,ㅁ,2
F02_0_1,F02011302,다음을 계산하세요.,3 \times 8 = 24\leftrightarrow24\div3=\boxed{\phantom{8}} ,3,X,8,=,24,24,÷,3,=,ㅁ,8
F02_0_1,F02011303,다음을 계산하세요., 5 \times 5 = 25\leftrightarrow25\div5=\boxed{\phantom{5}} ,5,X,5,=,25,25,÷,5,=,ㅁ,5
F02_0_1,F02011304,다음을 계산하세요.,\begin{multiplication-and-division} 6\times3=18 & 18\div6=\boxed{\phantom{3}} & 18\div3=\boxed{\phantom{6}} \end{multiplication-and-division},6,X,3,=,18,18,÷,6,=,ㅁ,3
F02_0_1,F02011305,다음을 계산하세요.,\begin{multiplication-and-division} 4\times9=36 & 36\div4=\boxed{\phantom{9}} & 36\div9=\boxed{\phantom{4}} \end{multiplication-and-division},4,X,9,=,36,36,÷,4,=,ㅁ,9
F02_0_1,F02011306,다음을 계산하세요.,\begin{multiplication-and-division} 6\times8=48 & 48\div6=\boxed{\phantom{8}} & 48\div8=\boxed{\phantom{6}} \end{multiplication-and-division},6,X,8,=,48,48,÷,6,=,ㅁ,8
F02_0_1,F02011407,다음을 계산하세요., 4 \times 5 = 20\leftrightarrow20\div4=\boxed{\phantom{5}} ,4,X,5,=,20,20,÷,4,=,ㅁ,5
F02_0_1,F02011408,다음을 계산하세요., 5 \times 9 = 45\leftrightarrow45\div5=\boxed{\phantom{9}} ,5,X,9,=,45,45,÷,5,=,ㅁ,9
F02_0_1,F02011409,다음을 계산하세요.,6 \times 6 = 36\leftrightarrow36\div6=\boxed{\phantom{6}} ,6,X,6,=,36,36,÷,6,=,ㅁ,6
F02_0_1,F02011410,다음을 계산하세요.,\begin{multiplication-and-division} 4\times2=8 & 8\div4=\boxed{\phantom{2}} & 8\div2=\boxed{\phantom{4}} \end{multiplication-and-division},4,X,2,=,8,8,÷,4,=,ㅁ,2
F02_0_1,F02011411,다음을 계산하세요.,\begin{multiplication-and-division} 5\times3=15 & 15\div5=\boxed{\phantom{3}} & 15\div3=\boxed{\phantom{5}} \end{multiplication-and-division},5,X,3,=,15,15,÷,5,=,ㅁ,3
F02_0_1,F02011412,다음을 계산하세요.,\begin{multiplication-and-division} 3\times4=12 & 12\div3=\boxed{\phantom{4}} & 12\div4=\boxed{\phantom{3}} \end{multiplication-and-division},3,X,4,=,12,12,÷,3,=,ㅁ,4
F02_0_1,F02011501,다음을 계산하세요.,8 \times 6 = 48\leftrightarrow48\div6=\boxed{\phantom{8}} ,8,X,6,=,48,48,÷,6,=,ㅁ,8
F02_0_1,F02011502,다음을 계산하세요.,7 \times 5 = 35\leftrightarrow35\div5=\boxed{\phantom{7}} ,7,X,5,=,35,35,÷,5,=,ㅁ,7
F02_0_1,F02011503,다음을 계산하세요., 9 \times 9 = 81\leftrightarrow81\div9=\boxed{\phantom{9}} ,9,X,9,=,81,81,÷,9,=,ㅁ,9
F02_0_1,F02011504,다음을 계산하세요.,\begin{multiplication-and-division} 9\times8=72 & 72\div9=\boxed{\phantom{8}} & 72\div8=\boxed{\phantom{9}} \end{multiplication-and-division},9,X,8,=,72,72,÷,9,=,ㅁ,8
F02_0_1,F02011505,다음을 계산하세요.,\begin{multiplication-and-division} 7\times9=63 & 63\div7=\boxed{\phantom{9}} & 63\div9=\boxed{\phantom{7}} \end{multiplication-and-division},7,X,9,=,63,63,÷,7,=,ㅁ,9
F02_0_1,F02011506,다음을 계산하세요.,\begin{multiplication-and-division} 8\times7=56 & 56\div8=\boxed{\phantom{7}} & 56\div7=\boxed{\phantom{8}} \end{multiplication-and-division},8,X,7,=,56,56,÷,8,=,ㅁ,7
F02_0_1,F02011607,다음을 계산하세요.,9 \times 3 = 27\leftrightarrow27\div3=\boxed{\phantom{9}} ,9,X,3,=,27,27,÷,3,=,ㅁ,9
F02_0_1,F02011608,다음을 계산하세요.,4 \times 8 = 32\leftrightarrow32\div8=\boxed{\phantom{4}} ,4,X,8,=,32,32,÷,8,=,ㅁ,4
F02_0_1,F02011609,다음을 계산하세요.,7 \times 7 = 49\leftrightarrow49\div7=\boxed{\phantom{7}} ,7,X,7,=,49,49,÷,7,=,ㅁ,7
F02_0_1,F02011610,다음을 계산하세요.,\begin{multiplication-and-division} 8\times2=16 & 16\div8=\boxed{\phantom{2}} & 16\div2=\boxed{\phantom{8}} \end{multiplication-and-division},8,X,2,=,16,16,÷,8,=,ㅁ,2
F02_0_1,F02011611,다음을 계산하세요.,\begin{multiplication-and-division} 9\times7=63 & 63\div9=\boxed{\phantom{7}} & 63\div7=\boxed{\phantom{9}} \end{multiplication-and-division},9,X,7,=,63,63,÷,9,=,ㅁ,7
F02_0_1,F02011612,다음을 계산하세요.,\begin{multiplication-and-division} 9\times6=54 & 54\div9=\boxed{\phantom{6}} & 54\div6=\boxed{\phantom{9}} \end{multiplication-and-division},9,X,6,=,54,54,÷,9,=,ㅁ,6
F02_0_1,F02011701,다음을 계산하세요.,7 \times 3 = 21 \leftrightarrow21\div7=\boxed{\phantom{3}} ,7,X,3,=,21,21,÷,7,=,ㅁ,3
F02_0_1,F02011702,다음을 계산하세요.,5 \times 2 = 10 \leftrightarrow10\div5=\boxed{\phantom{2}} ,5,X,2,=,10,10,÷,5,=,ㅁ,2
F02_0_1,F02011703,다음을 계산하세요.,4 \times 9 = 36\leftrightarrow36\div9=\boxed{\phantom{4}} ,4,X,9,=,36,36,÷,9,=,ㅁ,4
F02_0_1,F02011704,다음을 계산하세요.,\begin{multiplication-and-division} 6\times4=24 & 24\div6=\boxed{\phantom{4}} & 24\div4=\boxed{\phantom{6}} \end{multiplication-and-division},6,X,4,=,24,24,÷,6,=,ㅁ,4
F02_0_1,F02011705,다음을 계산하세요.,\begin{multiplication-and-division} 3\times8=24 & 24\div3=\boxed{\phantom{8}} & 24\div8=\boxed{\phantom{3}} \end{multiplication-and-division},3,X,8,=,24,24,÷,3,=,ㅁ,8
F02_0_1,F02011706,다음을 계산하세요.,\begin{multiplication-and-division} 5\times6=30 & 30\div5=\boxed{\phantom{6}} & 30\div6=\boxed{\phantom{5}} \end{multiplication-and-division},5,X,6,=,30,30,÷,5,=,ㅁ,6
F02_0_1,F02011807,다음을 계산하세요.,2 \times 7= 14 \leftrightarrow14\div2=\boxed{\phantom{7}} ,2,X,7,=,14,14,÷,2,=,ㅁ,7
F02_0_1,F02011808,다음을 계산하세요.,3 \times 3 = 9 \leftrightarrow9\div3=\boxed{\phantom{3}} ,3,X,3,=,9,9,÷,3,=,ㅁ,3
F02_0_1,F02011809,다음을 계산하세요.,5 \times 8 = 40 \leftrightarrow40\div8=\boxed{\phantom{5}} ,5,X,8,=,40,40,÷,8,=,ㅁ,5
F02_0_1,F02011810,다음을 계산하세요.,\begin{multiplication-and-division} 6\times7=42 & 42\div6=\boxed{\phantom{7}} & 42\div7=\boxed{\phantom{6}} \end{multiplication-and-division},6,X,7,=,42,42,÷,6,=,ㅁ,7
F02_0_1,F02011811,다음을 계산하세요.,\begin{multiplication-and-division} 3\times5=15 & 15\div3=\boxed{\phantom{5}} & 15\div5=\boxed{\phantom{3}} \end{multiplication-and-division},3,X,5,=,15,15,÷,3,=,ㅁ,5
F02_0_1,F02011812,다음을 계산하세요.,\begin{multiplication-and-division} 5\times9=45 & 45\div5=\boxed{\phantom{9}} & 45\div9=\boxed{\phantom{5}} \end{multiplication-and-division},5,X,9,=,45,45,÷,5,=,ㅁ,9
F03_0_1,F03010901,다음을 계산하세요.,6 \times \boxed{\phantom{3}} = 18\leftrightarrow18\div6=\boxed{\phantom{3}},6,X,3,=,18,18,÷,6,=,ㅁ,3
F03_0_1,F03010902,다음을 계산하세요.,7 \times \boxed{\phantom{5}} = 35\leftrightarrow35\div7=\boxed{\phantom{5}},7,X,5,=,35,35,÷,7,=,ㅁ,5
F03_0_1,F03010903,다음을 계산하세요.,\begin{multiplication-and-division} 2\times\boxed{\phantom{6}}=12 & 12\div~2=\boxed{\phantom{6}} & 12\div\boxed{\phantom{6}}=2 \end{multiplication-and-division},2,X,6,=,12,12,÷,2,=,ㅁ,6
F03_0_1,F03010904,다음을 계산하세요.,\begin{multiplication-and-division} 4\times\boxed{\phantom{9}}=36 & 36\div~4=\boxed{\phantom{9}} & 36\div\boxed{\phantom{9}}=4 \end{multiplication-and-division},4,X,9,=,36,36,÷,4,=,ㅁ,9
F03_0_1,F03011005,다음을 계산하세요.,4 \times \boxed{\phantom{6}} = 24\leftrightarrow24\div4=\boxed{\phantom{6}},4,X,6,=,24,24,÷,4,=,ㅁ,6
F03_0_1,F03011006,다음을 계산하세요.,8 \times \boxed{\phantom{5}} = 40\leftrightarrow40\div8=\boxed{\phantom{5}},8,X,5,=,40,40,÷,8,=,ㅁ,5
F03_0_1,F03011007,다음을 계산하세요.,9 \times \boxed{\phantom{7}} = 63\leftrightarrow63\div9=\boxed{\phantom{7}},9,X,7,=,63,63,÷,9,=,ㅁ,7
